date,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 2m (K),surface air pressure (Pa),density at hub height (kg/m^3),OT
2012/1/1 0:00,139.827,3.256,278.031,102015.408,1.254,0.037
2012/1/1 0:05,142.81,3.289,278.07,102019.072,1.254,0.04
2012/1/1 0:10,144.975,3.378,278.095,102022.736,1.254,0.049
2012/1/1 0:15,145.431,3.433,278.125,102024.56,1.254,0.054
2012/1/1 0:20,144.772,3.457,278.159,102026.4,1.254,0.056
2012/1/1 0:25,142.614,3.488,278.183,102029.144,1.254,0.059
2012/1/1 0:30,140.218,3.677,278.202,102032.808,1.254,0.078
2012/1/1 0:35,142.168,4.016,278.235,102033.72,1.254,0.113
2012/1/1 0:40,142.783,4.275,278.253,102033.72,1.254,0.156
2012/1/1 0:45,142.706,4.467,278.244,102030.056,1.254,0.188
2012/1/1 0:50,143.529,4.687,278.238,102029.144,1.253,0.224
2012/1/1 0:55,142.365,4.928,278.247,102030.976,1.253,0.264
2012/1/1 1:00,139.152,5.267,278.272,102032.808,1.253,0.341
2012/1/1 1:05,135.208,5.639,278.308,102031.888,1.252,0.427
2012/1/1 1:10,131.395,6.045,278.351,102033.72,1.252,0.529
2012/1/1 1:15,128.439,6.414,278.385,102028.224,1.252,0.642
2012/1/1 1:20,127.247,6.619,278.424,102024.56,1.251,0.704
2012/1/1 1:25,127.411,6.518,278.534,102030.968,1.251,0.673
2012/1/1 1:30,127.999,6.228,278.574,102029.144,1.251,0.584
2012/1/1 1:35,129.235,5.911,278.476,102031.888,1.251,0.49
2012/1/1 1:40,129.691,5.697,278.476,102037.384,1.251,0.441
2012/1/1 1:45,129.186,5.609,278.665,102047.456,1.252,0.42
2012/1/1 1:50,131.723,5.194,278.485,102051.12,1.251,0.323
2012/1/1 1:55,137.824,4.428,278.537,102046.536,1.25,0.181
2012/1/1 2:00,144.229,3.405,278.543,102039.208,1.251,0.051
2012/1/1 2:05,150.694,2.45,278.43,102041.96,1.252,0.005
2012/1/1 2:10,153.033,1.666,278.266,102048.368,1.254,0.0
2012/1/1 2:15,140.043,1.263,278.144,102044.704,1.255,0.0
2012/1/1 2:20,121.079,1.354,278.119,102032.808,1.255,0.0
2012/1/1 2:25,110.373,1.617,278.205,102026.4,1.254,0.0
2012/1/1 2:30,98.007,1.907,278.394,102016.328,1.254,0.0
2012/1/1 2:35,86.538,2.239,278.598,102013.576,1.253,0.002
2012/1/1 2:40,80.518,2.514,278.754,102008.088,1.253,0.005
2012/1/1 2:45,80.063,2.688,278.815,102001.672,1.252,0.007
2012/1/1 2:50,81.597,2.923,278.827,101993.44,1.252,0.01
2012/1/1 2:55,87.278,3.265,278.852,101990.688,1.252,0.038
2012/1/1 3:00,95.739,3.683,278.913,101983.368,1.251,0.078
2012/1/1 3:05,103.638,4.275,278.989,101977.864,1.251,0.156
2012/1/1 3:10,108.488,4.932,279.016,101974.208,1.25,0.264
2012/1/1 3:15,112.113,5.456,279.053,101972.376,1.25,0.384
2012/1/1 3:20,115.832,5.707,279.026,101971.464,1.249,0.442
2012/1/1 3:25,118.545,5.725,279.062,101969.632,1.249,0.446
2012/1/1 3:30,118.99,5.627,279.19,101965.056,1.248,0.423
2012/1/1 3:35,118.606,5.536,279.279,101962.304,1.248,0.402
2012/1/1 3:40,118.435,5.389,279.294,101959.56,1.248,0.368
2012/1/1 3:45,118.847,5.175,279.27,101960.48,1.248,0.318
2012/1/1 3:50,119.319,4.913,279.239,101958.64,1.248,0.261
2012/1/1 3:55,120.0,4.715,279.215,101964.144,1.248,0.228
2012/1/1 4:00,120.906,4.553,279.187,101964.144,1.248,0.201
2012/1/1 4:05,120.753,4.419,279.175,101965.056,1.248,0.179
2012/1/1 4:10,118.385,4.297,279.203,101965.056,1.247,0.159
2012/1/1 4:15,114.777,4.248,279.251,101961.392,1.247,0.151
2012/1/1 4:20,110.58,4.251,279.291,101962.304,1.247,0.151
2012/1/1 4:25,106.752,4.318,279.309,101959.56,1.246,0.162
2012/1/1 4:30,104.153,4.452,279.303,101957.728,1.246,0.184
2012/1/1 4:35,103.445,4.608,279.257,101956.816,1.246,0.21
2012/1/1 4:40,103.708,4.749,279.242,101954.072,1.246,0.233
2012/1/1 4:45,104.488,4.813,279.224,101951.32,1.246,0.244
2012/1/1 4:50,105.571,4.739,279.193,101948.568,1.245,0.231
2012/1/1 4:55,106.74,4.532,279.196,101949.496,1.245,0.197
2012/1/1 5:00,107.707,4.202,279.203,101949.496,1.245,0.143
2012/1/1 5:05,108.108,3.833,279.203,101946.744,1.245,0.092
2012/1/1 5:10,108.822,3.473,279.142,101948.568,1.245,0.057
2012/1/1 5:15,110.036,3.104,279.062,101948.568,1.245,0.022
2012/1/1 5:20,110.354,2.725,278.986,101944.912,1.244,0.007
2012/1/1 5:25,112.194,2.335,278.907,101940.336,1.244,0.003
2012/1/1 5:30,112.672,1.938,278.958,101938.496,1.244,0.0
2012/1/1 5:35,113.32,1.544,278.998,101934.84,1.244,0.0
2012/1/1 5:40,113.396,1.16,278.998,101929.344,1.245,0.0
2012/1/1 5:45,109.42,0.802,278.974,101924.776,1.245,0.0
2012/1/1 5:50,100.703,0.488,278.931,101922.936,1.246,0.0
2012/1/1 5:55,263.352,0.357,278.876,101920.184,1.246,0.0
2012/1/1 6:00,272.94,0.381,278.824,101917.448,1.247,0.0
2012/1/1 6:05,270.089,0.314,278.781,101905.536,1.247,0.0
2012/1/1 6:10,267.919,0.442,278.754,101910.12,1.247,0.0
2012/1/1 6:15,272.919,0.64,278.711,101915.608,1.247,0.0
2012/1/1 6:20,278.935,0.756,278.635,101914.696,1.248,0.0
2012/1/1 6:25,287.716,0.839,278.672,101911.952,1.248,0.0
2012/1/1 6:30,295.818,0.958,278.8,101911.04,1.248,0.0
2012/1/1 6:35,298.124,1.254,278.821,101911.952,1.248,0.0
2012/1/1 6:40,299.766,1.565,278.788,101913.784,1.248,0.0
2012/1/1 6:45,303.166,1.681,278.736,101911.032,1.249,0.0
2012/1/1 6:50,304.874,1.718,278.635,101908.288,1.248,0.0
2012/1/1 6:55,304.111,1.791,278.62,101906.456,1.248,0.0
2012/1/1 7:00,302.809,1.892,278.623,101907.376,1.248,0.0
2012/1/1 7:05,302.765,1.968,278.666,101905.536,1.248,0.0
2012/1/1 7:10,304.418,1.971,278.702,101901.88,1.248,0.0
2012/1/1 7:15,305.369,1.873,278.736,101899.136,1.248,0.0
2012/1/1 7:20,305.66,1.742,278.763,101895.472,1.248,0.0
2012/1/1 7:25,306.193,1.586,278.797,101889.976,1.247,0.0
2012/1/1 7:30,304.227,1.416,278.821,101889.064,1.247,0.0
2012/1/1 7:35,299.581,1.29,278.836,101889.064,1.246,0.0
2012/1/1 7:40,295.313,1.214,278.855,101888.152,1.246,0.0
2012/1/1 7:45,292.275,1.135,278.876,101886.312,1.246,0.0
2012/1/1 7:50,292.204,1.007,278.925,101885.4,1.245,0.0
2012/1/1 7:55,287.454,0.869,278.946,101884.488,1.245,0.0
2012/1/1 8:00,275.755,0.726,278.968,101883.568,1.245,0.0
2012/1/1 8:05,263.671,0.653,279.01,101885.4,1.244,0.0
2012/1/1 8:10,252.252,0.595,279.056,101887.224,1.244,0.0
2012/1/1 8:15,240.734,0.57,279.099,101888.152,1.244,0.0
2012/1/1 8:20,231.604,0.573,279.142,101887.224,1.243,0.0
2012/1/1 8:25,221.167,0.567,279.187,101888.152,1.243,0.0
2012/1/1 8:30,209.695,0.546,279.251,101884.488,1.242,0.0
2012/1/1 8:35,213.47,0.549,279.34,101883.568,1.242,0.0
2012/1/1 8:40,220.356,0.527,279.377,101882.656,1.241,0.0
2012/1/1 8:45,220.667,0.476,279.413,101881.736,1.241,0.0
2012/1/1 8:50,207.176,0.43,279.511,101878.08,1.24,0.0
2012/1/1 8:55,182.615,0.47,279.541,101878.08,1.24,0.0
2012/1/1 9:00,162.04,0.552,279.578,101878.992,1.239,0.0
2012/1/1 9:05,148.872,0.65,279.694,101878.992,1.239,0.0
2012/1/1 9:10,142.345,0.741,279.731,101877.16,1.238,0.0
2012/1/1 9:15,135.869,0.79,279.767,101872.584,1.238,0.0
2012/1/1 9:20,130.442,0.833,279.911,101869.832,1.237,0.0
2012/1/1 9:25,125.938,0.894,279.947,101865.256,1.237,0.0
2012/1/1 9:30,130.025,0.933,279.975,101863.432,1.237,0.0
2012/1/1 9:35,132.761,0.973,280.152,101860.68,1.236,0.0
2012/1/1 9:40,136.007,1.007,280.201,101857.928,1.236,0.0
2012/1/1 9:45,139.425,1.086,280.252,101856.104,1.236,0.0
2012/1/1 9:50,143.365,1.22,280.436,101851.52,1.235,0.0
2012/1/1 9:55,144.972,1.379,280.503,101848.784,1.235,0.0
2012/1/1 10:00,144.535,1.525,280.576,101846.944,1.234,0.0
2012/1/1 10:05,143.944,1.641,280.838,101843.28,1.234,0.0
2012/1/1 10:10,142.687,1.751,280.927,101841.456,1.234,0.0
2012/1/1 10:15,141.112,1.827,281.006,101839.624,1.233,0.0
2012/1/1 10:20,106.184,1.144,281.278,101835.96,1.234,0.0
2012/1/1 10:25,101.367,1.138,281.385,101831.384,1.234,0.0
2012/1/1 10:30,104.223,1.153,281.528,101827.72,1.233,0.0
2012/1/1 10:35,106.118,1.123,281.736,101824.056,1.233,0.0
2012/1/1 10:40,107.305,1.113,281.824,101817.648,1.233,0.0
2012/1/1 10:45,108.623,1.132,281.891,101813.984,1.233,0.0
2012/1/1 10:50,107.871,1.138,281.992,101806.664,1.232,0.0
2012/1/1 10:55,106.558,1.138,282.038,101803.912,1.232,0.0
2012/1/1 11:00,103.872,1.135,282.09,101798.424,1.232,0.0
2012/1/1 11:05,100.982,1.138,282.181,101792.016,1.232,0.0
2012/1/1 11:10,98.373,1.144,282.251,101785.6,1.231,0.0
2012/1/1 11:15,98.422,1.138,282.331,101781.944,1.231,0.0
2012/1/1 11:20,98.571,1.092,282.474,101776.456,1.231,0.0
2012/1/1 11:25,99.658,1.055,282.569,101772.792,1.23,0.0
2012/1/1 11:30,100.619,0.979,282.66,101770.04,1.23,0.0
2012/1/1 11:35,99.829,0.903,282.782,101762.72,1.23,0.0
2012/1/1 11:40,96.446,0.82,282.874,101759.056,1.23,0.0
2012/1/1 11:45,91.728,0.75,282.959,101753.56,1.229,0.0
2012/1/1 11:50,85.077,0.683,283.054,101745.32,1.229,0.0
2012/1/1 11:55,81.222,0.692,283.13,101737.08,1.229,0.0
2012/1/1 12:00,83.946,0.701,283.21,101733.424,1.229,0.0
2012/1/1 12:05,82.891,0.683,283.313,101730.672,1.228,0.0
2012/1/1 12:10,81.804,0.656,283.399,101727.92,1.228,0.0
2012/1/1 12:15,83.375,0.622,283.49,101722.432,1.228,0.0
2012/1/1 12:20,84.484,0.631,283.588,101714.192,1.227,0.0
2012/1/1 12:25,85.956,0.622,283.686,101710.528,1.227,0.0
2012/1/1 12:30,87.698,0.57,283.777,101703.2,1.227,0.0
2012/1/1 12:35,88.439,0.534,283.844,101695.88,1.227,0.0
2012/1/1 12:40,88.593,0.494,283.918,101694.968,1.226,0.0
2012/1/1 12:45,83.968,0.479,283.988,101688.552,1.226,0.0
2012/1/1 12:50,85.457,0.5,284.009,101682.152,1.226,0.0
2012/1/1 12:55,87.214,0.552,284.055,101677.568,1.225,0.0
2012/1/1 13:00,93.789,0.616,284.082,101672.992,1.225,0.0
2012/1/1 13:05,102.478,0.677,284.079,101665.664,1.225,0.0
2012/1/1 13:10,111.172,0.741,284.095,101662.92,1.224,0.0
2012/1/1 13:15,117.796,0.811,284.116,101659.256,1.224,0.0
2012/1/1 13:20,123.805,0.906,284.101,101655.592,1.223,0.0
2012/1/1 13:25,127.957,1.019,284.131,101651.016,1.223,0.0
2012/1/1 13:30,128.748,1.138,284.171,101645.52,1.223,0.0
2012/1/1 13:35,128.77,1.272,284.162,101641.856,1.222,0.0
2012/1/1 13:40,128.622,1.428,284.214,101636.368,1.222,0.0
2012/1/1 13:45,128.183,1.544,284.266,101627.208,1.221,0.0
2012/1/1 13:50,125.926,1.669,284.244,101622.632,1.221,0.0
2012/1/1 13:55,123.663,1.8,284.281,101614.4,1.22,0.0
2012/1/1 14:00,121.604,1.989,284.314,101607.072,1.22,0.0
2012/1/1 14:05,121.731,2.239,284.238,101597.0,1.219,0.002
2012/1/1 14:10,121.605,2.444,284.275,101585.104,1.219,0.004
2012/1/1 14:15,120.457,2.621,284.308,101575.032,1.219,0.006
2012/1/1 14:20,119.715,2.773,284.205,101569.528,1.218,0.008
2012/1/1 14:25,119.232,2.908,284.235,101562.208,1.218,0.009
2012/1/1 14:30,118.21,3.042,284.259,101554.88,1.218,0.014
2012/1/1 14:35,117.49,3.139,284.034,101546.648,1.217,0.023
2012/1/1 14:40,117.1,3.213,284.064,101542.072,1.217,0.03
2012/1/1 14:45,116.869,3.231,284.095,101536.576,1.217,0.032
2012/1/1 14:50,116.435,3.21,283.82,101531.08,1.217,0.03
2012/1/1 14:55,115.375,3.173,283.841,101524.672,1.217,0.026
2012/1/1 15:00,114.491,3.164,283.863,101519.176,1.217,0.025
2012/1/1 15:05,114.062,3.179,283.57,101513.688,1.216,0.027
2012/1/1 15:10,113.332,3.185,283.591,101508.192,1.216,0.027
2012/1/1 15:15,112.574,3.197,283.634,101507.28,1.216,0.028
2012/1/1 15:20,111.821,3.207,283.381,101503.616,1.216,0.029
2012/1/1 15:25,111.871,3.246,283.384,101499.04,1.216,0.033
2012/1/1 15:30,112.437,3.323,283.359,101497.2,1.216,0.04
2012/1/1 15:35,114.058,3.411,283.127,101490.8,1.216,0.049
2012/1/1 15:40,114.832,3.493,283.1,101485.304,1.216,0.057
2012/1/1 15:45,114.454,3.585,283.078,101479.816,1.216,0.065
2012/1/1 15:50,114.119,3.673,282.932,101472.488,1.216,0.074
2012/1/1 15:55,113.91,3.725,282.905,101466.992,1.216,0.079
2012/1/1 16:00,113.575,3.741,282.877,101462.416,1.216,0.08
2012/1/1 16:05,113.608,3.75,282.847,101456.92,1.216,0.081
2012/1/1 16:10,114.02,3.774,282.825,101451.432,1.216,0.083
2012/1/1 16:15,114.575,3.811,282.816,101449.592,1.216,0.087
2012/1/1 16:20,115.735,3.875,282.734,101445.936,1.216,0.093
2012/1/1 16:25,116.795,3.991,282.712,101439.52,1.216,0.104
2012/1/1 16:30,117.828,4.162,282.7,101437.696,1.216,0.13
2012/1/1 16:35,120.191,4.388,282.673,101434.944,1.216,0.168
2012/1/1 16:40,122.245,4.601,282.706,101432.2,1.216,0.203
2012/1/1 16:45,124.031,4.821,282.749,101430.368,1.216,0.239
2012/1/1 16:50,125.465,5.044,282.755,101428.536,1.216,0.277
2012/1/1 16:55,126.003,5.218,282.767,101423.96,1.216,0.317
2012/1/1 17:00,125.031,5.315,282.758,101421.208,1.216,0.34
